,title,internal_id,url,description,responsibilities,qualifications,company,publish_date
0,Java-разработчик в Invest Global,0048cff3-d109-41c8-ac89-7f3dba2e93fd,https://cfg.tinkoff.ru/vacancies/public/api/platform/v2/getVacancy?urlSlug=java-razrabotchik-v-invest-global,Тинькофф Инвестиции выходит на международные рынки! Перед нами стоят масштабные задачи по запуску нескольких брокеров в зарубежных юрисдикциях и масштабированию их в облачной инфраструктуре. Приглашаем вас присоединиться к стартапу со взрослыми процессами разработки и разработать платформенное решение для торговли финансовыми инструментами на самых современных технологиях!,"Проектирование надежных отказоустойчивых и переиспользуемых сервисов, способных функционировать под большими нагрузками. Разработка, тестирование и поддержка платформенных микросервисов в рамках кросс-функциональной команды. Активное взаимодействие с руководителем продукта, архитектором, аналитиками и инженерами тестирования для быстрой доставки качественных продуктовых фич. Проведение code review.","Опыт программирования на Java от 3 лет — мы используем Java 16. Навыки работы с базами данных, знание основ SQL — у нас PostgreSQL и разные NoSQL в зависимости от потребностей сервиса. Опыт работы с синхронными протоколами взаимодействия сервисов — у нас REST и gRPC. Опыт работы с любым из брокеров сообщений — у нас Kafka. Опыт написания тестов — у нас разработчики пишут модульные и интеграционные тесты, остальное пишут инженеры тестирования.",Tinkoff,2018-03-27 09:04:23.643000+00:00
1,Ведущий Java-разработчик (Тинькофф Инвестиции),07c306aa-e9c1-43dd-a642-c679656b0f8c,https://cfg.tinkoff.ru/vacancies/public/api/platform/v2/getVacancy?urlSlug=vedushij-java-razrabotchik-tinkoff-investicii,"Увеличиваем мощность разработки в Тинькофф Инвестициях и приглашаем в команду Ведущих Java-разработчиков ! Тинькофф Инвестиции создали собственного уникального и технологичного онлайн-брокера, сделали самый сложный финансовый продукт доступным и удобным для всех. Сейчас перед нами стоят масштабные задачи по запуску нескольких брокеров в зарубежных юрисдикциях и масштабированию их в облачной инфраструктуре, глобализации социальных сервисов и сервисов привлечения клиентов, развитию учетных систем. Поэтому для новых побед и быстрого роста нам нужны эксперты бэкэнд - разработки.","Проектирование надежных отказоустойчивых сервисов, способных выдерживать большие нагрузки Оценка задач, разработка и поддержка платформенных микросервисов в рамках продуктовой кросс-функциональной команды Активное взаимодействие с руководителем продукта, архитектором, аналитиками, инженерами по обеспечению качества и SRE для быстрой доставки качественных продуктовых фич Проведение code review Мы используем: Java 11-17 / Kotlin, Spring (Data/Web/Boot/Security/..), PostgreSQL, Cassandra (и другие NoSQL), Kafka, Maven/Gradle,GitLab, Kubernetes.","Опыт программирования на Java от 5 лет Опыт разработки на Spring Framework Знание SQL, принципов работы реляционных и нереляционных БД Опыт работы с синхронными протоколами взаимодействия сервисов - REST, gRPC Опыт работы с любым из брокеров сообщений Опыт написания тестов (модульные, интеграционные)",Tinkoff,2018-03-27 09:04:23.643000+00:00
2,Разработчик .NET в Тинькофф Бизнес,09a49922-5a46-42fa-aafa-7eafeefd8fc2,https://cfg.tinkoff.ru/vacancies/public/api/platform/v2/getVacancy?urlSlug=dotnet-developer-business,"Собираем команду для реализации нового сервиса на .NET в Тинькофф.Бизнес. Никакого legacy, много возможностей влиять на продукт на ранней стадии. Заложим первый кирпич в фундамент нового стека технологий в рамках управления, и сделаем его из самых совершенных инженерных практик. Тинькофф.Бизнес наращивает долю присутствия в сегменте среднего и крупного бизнеса, активно вовлеченного во внешнюю экономическую деятельность. Проект будет решать бизнес-задачу, в которую входит обработка данных, полученных из внешних интеграций, предоставление клиенту нотификаций и возможностей по просмотру и формированию документов на основе этих данных. А значит — повышенные требования к надежности, доступности, наблюдаемости и тестируемости.",Разработка проекта с микросервисной архитектурой Принятие активного участия в решении архитектурных вопросов Подготовка проектной документации Решение нестандартных задач&nbsp;,Иметь реальный опыт разработки приложений на .net Уверенно знать .NET Core Понимать принципы и способы интеграции с другими системами Владеть концепциями построения высоконагруженных сервисов Уметь работать с Git Знать SQL и иметь опыт работы с реляционными СУБД &nbsp;,Tinkoff,2018-03-27 09:04:23.643000+00:00
3,Java-разработчик ,2bde6157-43bb-411d-8456-65dd3eb0890e,https://cfg.tinkoff.ru/vacancies/public/api/platform/v2/getVacancy?urlSlug=java,"Сейчас мы расширяем команды и ищем разработчиков для развития нескольких сервисов:&nbsp; Инвестиции. Строим уникальный и технологичный брокер в России, сделав самый сложный финансовый продукт доступным и удобным всем. SME. Меняем стандарты подхода к ведению бухгалтерии, обмену документами между организациями, и работе с архивом — переводим все и вся в цифру. Страхование. Развиваем платформу прямых продаж. И наша цель — предсказуемый, удобный процесс для бизнеса и клиента. Платежные технологии и процессинг. Занимаемся разработкой и поддержкой платежного шлюза банка, в задачи которого входит определение типа платежа, наполнение его данными из других систем банка, проверка разрешенности операции. Мы используем: Java/Kotlin, Spring (Data/Web/Boot/Security), Hibernate, PostgreSQL, Maven, Gradle, TeamCity, Git.",Разработка внешних и внутренних продуктов Проработка и реализация интеграционных решений,"Опыт разработки на Java от 3-ех лет Опыт разработки на Spring Framework, Spring Boot Знание SQL и одной из реляционных СУБД Oracle или Postgres Опыт работы с системой контроля версий",Tinkoff,2018-03-27 09:04:23.643000+00:00
4,Golang-разработчик в Tinkoff Asia,3da26517-b3e3-4baf-bdde-77123ca7ba49,https://cfg.tinkoff.ru/vacancies/public/api/platform/v2/getVacancy?urlSlug=go-developer-asia,"Тинькофф выходит на международный рынок. И Филиппины только начало. Вас ждет стартап с ресурсами крупной компании: экспертиза, финансовая поддержка и сильная менеджерская команда. Приглашаем создавать новую историю! Релокация не требуется, но возможна в будущем.",Разработка нагруженных backend-приложений Участие в проектировании внутренней архитектуры приложений CodeReview Разработка unit-тестов Проработка метрик в приложении для дальнейшей настройки мониторинга и алертинга Поддержка тестирования выполненных задач Соблюдение установленных сроков,"Опыт разработки на golang от 1 года Опыт разработки многопоточных приложений Опыт разработки web-сервисов (REST, gRPC, WebSocket) Опыт работы с реляционными базами данных (преимущественно postgresql) Опыт работы с нереляционными базами данных (преимущественно couchbase) Опыт работы с брокером сообщений (преимущественно kafka) Опыт работы с unix системами",Tinkoff,2018-03-27 09:04:23.643000+00:00
5,Java-разработчик,497910f5-6ea5-4d6d-b8f4-a1eec2ff95e9,https://cfg.tinkoff.ru/vacancies/public/api/platform/v2/getVacancy?urlSlug=java-dev,"Сейчас мы расширяем команды и ищем разработчиков для развития нескольких сервисов:&nbsp; Инвестиции. Строим уникальный и технологичный брокер в России, сделав самый сложный финансовый продукт доступным и удобным всем. SME. Меняем стандарты подхода к ведению бухгалтерии, обмену документами между организациями, и работе с архивом — переводим все и вся в цифру. Страхование. Развиваем платформу прямых продаж. И наша цель — предсказуемый, удобный процесс для бизнеса и клиента. Платежные технологии и процессинг. Занимаемся разработкой и поддержкой платежного шлюза банка, в задачи которого входит определение типа платежа, наполнение его данными из других систем банка, проверка разрешенности операции. Мы используем: Java/Kotlin, Spring (Data/Web/Boot/Security), Hibernate, PostgreSQL, Maven, Gradle, TeamCity, Git.",Разработка внешних и внутренних продуктов Проработка и реализация интеграционных решений,"Опыт разработки на Java от 5-ти лет Опыт разработки на Spring Framework, Spring Boot Знание SQL и одной из реляционных СУБД Oracle или Postgres Опыт работы с системой контроля версий",Tinkoff,2018-03-27 09:04:23.643000+00:00
6,Kotlin-разработчик ,4989e489-56a4-45d7-b882-93c7cb4fcf96,https://cfg.tinkoff.ru/vacancies/public/api/platform/v2/getVacancy?urlSlug=kotlin-developer,"Тинькофф Бизнес — это одна из компаний в группе Тинькофф. А ещё это набор сервисов, помогающих предпринимателям вести дела. Наше направление — кредиты и продукты b2g. 4 года назад мы начинали с выдачи небольших кредитов для малого бизнеса, а сейчас уже выдаём крупные суммы для среднего. Мы создаём и развиваем автоматизированные заявочные процессы выдачи кредитов для малого и среднего бизнеса на Kotlin, используя фреймворки Spring и Camunda. Наши данные хранятся в PostgreSQL, а код — в гите, мы собираем Docker-контейнеры с помощью Gradle и крутим их на Kubernetes. Мы ищем разработчика на Kotlin в нашу команду.","Реализовать бизнес-процессы с помощью BPM, Spring и Kotlin Делать код-ревью коллег Проектировать реализацию новых процессов",Опыт работы (или хотя бы знакомство) с Camunda приветствуется Опыт работы в Agile-командах приветствуется,Tinkoff,2018-03-27 09:04:23.643000+00:00
7,Development Team Lead ,5275723e-a161-4086-85bf-906024503584,https://cfg.tinkoff.ru/vacancies/public/api/platform/v2/getVacancy?urlSlug=development-team-lead,"Ищем тимлидов для развития проектов: — мобильный банк для физлиц, бизнеса и инвестиций; — нефинансовые сервисы внутри банка с помощью кросс-платформенных решений; — сервисы для Тинькофф Бизнеса: расчеты между юрлицами, поддержка эквайринга, сервисы бухгалтерии; — машинное обучение в продуктах и внутренние процессы компании, вкладываемся в долгосрочные исследования. Развиваем сервис телефонного ассистента Олега для защиты от спамеров и мошенников; — высоконагруженная и отказоустойчивая система Тинькофф Инвестиций, которая управляет активами пользователей, принимает запросы на операции с активами, обрабатывает информацию от биржи; — развитие ИТ в России: делимся опытом и приглашаем выступать экспертов из других компаний; — масштабируем существующие и создаем новые продукты на международном рынке.","Управление командой разработки (аналитики, разработчики, QA-инженеры), участие и принятие решений в найме определение стека разработки для новых сервисов найм сотрудников обсуждение требований и участие в планировании развития продукта проектирование архитектуры решений проработка архитектуры со смежными подразделениями &nbsp;","опыт работы в роли TeamLead команды разработки &gt; 1 года опыт управления полноценной командой (аналитика-разработка-тестирование-delivery от аналитики до production) хорошее знание используемого стека разработки (нужно пройти собеседования по соответствующим секциям найма : .NET, Java, Python, Go, Frontend) опыт построения решений в микросервисной архитектуре опыт в проектировании систем (хорошая оценка в секции Дизайна)",Tinkoff,2018-03-27 09:04:23.643000+00:00
8,ETL-разработчик (Streaming),55c925a4-ab95-488e-8d3c-3817e4de5514,https://cfg.tinkoff.ru/vacancies/public/api/platform/v2/getVacancy?urlSlug=etl-developer-streaming,"Ищем разработчика ETL на стриминговую платформу Tinkoff c Apache Flink под капотом, предназначенную для надежной непрерывной построчной (near real time) доставки результатов сложных аналитических расчетов пользователям.","Проектирование и разработка оптимальных streaming-процессов преобразования данных (ETL) для DWH Проектирование и разработка вспомогательных batch-процессов преобразования данных (ETL) с использованием SAS Написание скриптов на SQL и диалекте YAML Работа с различными базами и платформами данных: Kafka, Greenplum, Oracle, Hive, HBase, Clickhouse Разработка и практическое применение стандартов и best practices для построения оптимальных потоков платформы","Высшее техническое образование Свободное владение SQL Круто, если у тебя есть Опыт работы с базами данных / Kafka в качестве разработчика Понимание теории DWH и Streaming Architecture Понимание принципов построения ETL/ELT-процессов Знакомство с ETL-инструментами SAS, NiFi Опыт работы с Flink, Java, Greenplum, Oracle, Hive, HBase, Clickhouse, Kafka",Tinkoff,2018-03-27 09:04:23.643000+00:00
9,Scala-разработчик,5cda5e01-495b-4e39-a51e-76b040f3b68a,https://cfg.tinkoff.ru/vacancies/public/api/platform/v2/getVacancy?urlSlug=scala,"Tinkoff.ru ищет Scala разработчиков для создания инновационных 24/7 fintech-сервисов. В рамках проектов мы создаем высоконагруженные, асинхронные, отказоустойчивые, безопасные финансовые сервисы. И что важно — постоянно добавляем новый инновационный функционал. Проекты, в основном, представляют собой back-end и api для обслуживания наших клиентов через web, мобильные приложения и открытые api. Мы разрабатываем трейдинговую платформу, запустили мобильного оператора, ну и, конечно, развиваем сервисы для наших клиентов (POS-кредитование, малый и средний бизнес и т.д.) С учетом количества проектов используем практически весь scala-стек (в том числе стримы, коты, моникс и др.)","Проектировать и разрабатывать асинхронные, отказоустойчивые сервисы на Scala Участвовать в code review и писать тесты Проводить исследования и внедрять новые технологии","Продакшн опыт разработки приложений на Scala Опыт решения задач интеграции с другими системами Опыт работы с реляционными и документоориентированными СУБД Убежденность в важности тестов, code-review и командной работы Нацеленность на результат Желание создавать лучшие в России fintech-продукты",Tinkoff,2018-03-27 09:04:23.643000+00:00
